,target_id,total_sales,difference,monthly_sales,item_link_x,total_number_of_comments,average_comments_permonth,total_number_of_reviews,average_reviews_permonth
164,963725604,2,7,0.2857142857142857,www.etsy.com/listing/963725604/personalized-breakfast-board-for?ref=shop_review,24,3.4285714285714284,39,5.571428571428571
165,963832517,4,7,0.5714285714285714,www.etsy.com/listing/963832517/breakfast-boards-for-kids-personalized?ref=shop_review,40,5.714285714285714,57,8.142857142857142
179,971082204,1,3,0.3333333333333333,www.etsy.com/listing/971082204/wooden-board-with-engraving-breakfast?ref=shop_review,2,0.6666666666666666,6,2.0
180,971083902,4,6,0.6666666666666666,www.etsy.com/listing/971083902/wooden-board-with-engraving-breakfast?ref=shop_review,6,1.0,10,1.6666666666666667
184,971415588,1,6,0.16666666666666666,www.etsy.com/listing/971415588/bread-tin-kids-bread-tin-personalized?ref=shop_review,4,0.6666666666666666,13,2.1666666666666665
187,984353475,1,5,0.2,www.etsy.com/listing/984353475/bread-tin-kids-bread-tin-personalized?ref=shop_review,15,3.0,24,4.8
188,984926702,3,5,0.6,www.etsy.com/listing/984926702/breakfast-board-kids-baby-gift?ref=shop_review,14,2.8,25,5.0
189,985046343,15772,6,2628.6666666666665,www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,219,36.5,319,53.166666666666664
191,992941334,2,4,0.5,www.etsy.com/listing/992941334/bread-tin-personalized-bread-tin-kids?ref=shop_review,42,10.5,48,12.0
194,998878393,1,6,0.16666666666666666,www.etsy.com/listing/998878393/memory-box-baby-baby-gift-birth-birth?ref=shop_review,4,0.6666666666666666,6,1.0
