,target_id,total_sales,difference,monthly_sales,item_link_x,total_number_of_comments,average_comments_permonth,total_number_of_reviews,average_reviews_permonth
690,708087860,9,10,0.9,https://www.etsy.com/listing/708087860/viking-sword-chape-varbola-07-ob-varbola?ref=shop_review,4,0.4,4,0.4
691,708103454,12,20,0.6,https://www.etsy.com/listing/708103454/viking-sheath-mount-with-ring-08-schauf?ref=shop_review,4,0.2,4,0.2
692,708117698,46,8,5.75,https://www.etsy.com/listing/708117698/viking-sax-sheath-mount-set-08-sax-mount?ref=shop_review,14,1.75,17,2.125
693,708119036,50,8,6.25,https://www.etsy.com/listing/708119036/viking-sheath-rim-mount-08-sax-mount-0?ref=shop_review,15,1.875,20,2.5
694,708124016,5,11,0.45454545454545453,https://www.etsy.com/listing/708124016/viking-strap-divider-set-08-gvt-set?ref=shop_review,3,0.2727272727272727,3,0.2727272727272727
695,709291338,7,8,0.875,https://www.etsy.com/listing/709291338/grain-leather-belt-celtic-dogs-4-cm-10?ref=shop_review,1,0.125,1,0.125
696,709292432,4,1,4.0,https://www.etsy.com/listing/709292432/split-leather-belt-animal-style-3-cm-10?ref=shop_review,1,1.0,1,1.0
697,711532860,47,20,2.35,https://www.etsy.com/listing/711532860/viking-knife-blade-birka-02-messerklinge?ref=shop_review,7,0.35,10,0.5
698,711533508,66,20,3.3,https://www.etsy.com/listing/711533508/viking-knife-blade-hedeby-02?ref=shop_review,7,0.35,12,0.6
699,711534790,24,20,1.2,https://www.etsy.com/listing/711534790/carbon-knife-blade-medium-02?ref=shop_review,2,0.1,4,0.2
700,711535686,9,8,1.125,https://www.etsy.com/listing/711535686/carbon-knife-blade-xl-02-messerklinge-xl?ref=shop_review,2,0.25,2,0.25
701,711536482,28,20,1.4,https://www.etsy.com/listing/711536482/carbon-steel-knife-blade-medium-02?ref=shop_review,8,0.4,9,0.45
702,712996674,16,16,1.0,https://www.etsy.com/listing/712996674/anglo-saxon-seax-blade-carbon-steel-02?ref=shop_review,6,0.375,6,0.375
703,713494432,31,4,7.75,https://www.etsy.com/listing/713494432/viking-damascus-knife-blade-birka-02?ref=shop_review,3,0.75,3,0.75
704,713494920,18,10,1.8,https://www.etsy.com/listing/713494920/damascus-viking-knife-blade-hedeby-02?ref=shop_review,2,0.2,4,0.4
705,713497146,22,22,1.0,https://www.etsy.com/listing/713497146/damascus-knife-blade-medium-02-klinge-2?ref=shop_review,1,0.045454545454545456,2,0.09090909090909091
706,713498324,32,9,3.5555555555555554,https://www.etsy.com/listing/713498324/anglo-saxon-seax-blade-damascus-02-sax?ref=shop_review,3,0.3333333333333333,4,0.4444444444444444
707,713498794,18,20,0.9,https://www.etsy.com/listing/713498794/anglo-saxon-seax-blade-damascus-02-sax?ref=shop_review,3,0.15,5,0.25
708,718673322,11,9,1.2222222222222223,https://www.etsy.com/listing/718673322/viking-bead-no-w3-hole-4-mm-07-wei-03-n3?ref=shop_review,1,0.1111111111111111,2,0.2222222222222222
709,718933010,9,15,0.6,https://www.etsy.com/listing/718933010/anglo-saxon-drinking-horn-terminal-07?ref=shop_review,1,0.06666666666666667,1,0.06666666666666667
710,718933526,4,16,0.25,https://www.etsy.com/listing/718933526/drinking-horn-terminal-with-raven-head?ref=shop_review,2,0.125,3,0.1875
711,718948000,43,12,3.5833333333333335,https://www.etsy.com/listing/718948000/ring-brooch-ireland-07-fi-irland-n1-d-6?ref=shop_review,6,0.5,11,0.9166666666666666
712,718948810,12,22,0.5454545454545454,https://www.etsy.com/listing/718948810/medieval-betrothal-ring-with-hands-07?ref=shop_review,2,0.09090909090909091,2,0.09090909090909091
713,718950064,6,15,0.4,https://www.etsy.com/listing/718950064/viking-upper-arm-ring-wolf-head-07-oar?ref=shop_review,1,0.06666666666666667,1,0.06666666666666667
714,719852998,18,12,1.5,https://www.etsy.com/listing/719852998/heart-shaped-viking-stud-with-ring-08-zn?ref=shop_review,3,0.25,5,0.4166666666666667
